header,eligibility,award,days_left1,days_left2,time_left,img,link_to_scholarship
IIT Roorkee Junior Research Fellowship (iHUB) 2022,B.E./B.Tech. or M.E./M.Tech. degree holders,"INR 31,000 per month plus HRA",2days to go,,,https://d2w7l1p59qkl0r.cloudfront.net/static/scholarship_logo/logo_22110_1645193141.png,https://www.buddy4study.com/scholarship/iit-roorkee-junior-research-fellowship-ihub-2022
Ashoka University Young India Fellowship 2022-23,Undergraduate and Postgraduate students,Up to 100% tuition fee waiver,2days to go,,,https://s3-ap-southeast-1.amazonaws.com/cdn.buddy4study.com/static/scholarship_logo/logo_17665_1582609278.png,https://www.buddy4study.com/scholarship/ashoka-university-young-india-fellowship-2022-23
Tata AIG Avanti Fellows Scholarship Program 2022,Girl students pursuing UG (engineering and medical) courses,"Up to INR 1,60,000 per year",2days to go,,,https://d2w7l1p59qkl0r.cloudfront.net/static/scholarship_logo/logo_22180_1646306516.jpg,https://www.buddy4study.com/page/tata-aig-avanti-fellows-scholarship-program
lndian Council for Cultural Relations (ICCR) Internship 2022,Graduate/PG/Research and Foreign language students,"INR 10,000 per month and other benefits",2days to go,,,https://d2w7l1p59qkl0r.cloudfront.net/static/scholarship_logo/logo_22186_1646394253.png,https://www.buddy4study.com/scholarship/lndian-council-for-cultural-relations-iccr-internship-2022
IIT Kharagpur Department of Chemical Engineering (DCE) Junior Research Fellowship 2022,B.E. or B.Tech./M.Tech. degree holders,"Up to INR 31,000 per month",5days to go,,,https://d2w7l1p59qkl0r.cloudfront.net/static/scholarship_logo/logo_22194_1646400989.png,https://www.buddy4study.com/scholarship/iit-kharagpur-department-of-chemical-engineering-dce-junior-research-fellowship-2022
NIMHANS Bengaluru Department of Integrative Medicine Senior Research Fellowship 2022,Graduate/Postgraduate degree holders,"INR 35,000 per month plus 24% HRA",6days to go,,,https://d2w7l1p59qkl0r.cloudfront.net/static/scholarship_logo/logo_22224_1646915289.png,https://www.buddy4study.com/scholarship/nimhans-bengaluru-department-of-integrative-medicine-senior-research-fellowship-2022
Future Research Talent Awards- India 2022,Indian Nationals with high level academic ability and research potential,A$6000,7days to go,,,https://d2w7l1p59qkl0r.cloudfront.net/static/scholarship_logo/logo_22115_1645445667.png,https://www.buddy4study.com/scholarship/future-research-talent-awards-india-2022
NIT Warangal Civil Engineering Department (CE) Junior Research Fellowship 2022,B.E./B.Tech./M.E./M.Tech. degree holders,"INR 31,000 per month for 2 years",7days to go,,,https://d2w7l1p59qkl0r.cloudfront.net/static/scholarship_logo/logo_22116_1645447156.png,https://www.buddy4study.com/scholarship/nit-warangal-civil-engineering-department-ce-junior-research-fellowship-2022
IIT Gandhinagar Computer Science & Engineering Department (CSED) Junior Research Fellowship 2022,Graduate or Postgraduate degree holders,"INR 31,000 per month plus INR 7,440 HRA",7days to go,,,https://d2w7l1p59qkl0r.cloudfront.net/static/scholarship_logo/logo_22209_1646826511.png,https://www.buddy4study.com/scholarship/iit-gandhinagar-computer-science-engineering-department-csed-junior-research-fellowship-2022
IIT BHU Varanasi School of Bio-Medical Engineering Junior Research Fellowship 2022,Bachelor's/Master's degree holders,"INR 31,000 per month",7days to go,,,https://d2w7l1p59qkl0r.cloudfront.net/static/scholarship_logo/logo_22155_1646055960.png,https://www.buddy4study.com/scholarship/iit-bhu-varanasi-school-of-bio-medical-engineering-junior-research-fellowship-2022
